Time;Amplitude
334.58917236;2.60784316
334.59329224;2.41176462
334.59329224;2.29411769
334.59741211;2.25490189
334.60147095;2.07843137
334.60559082;2.07843137
334.60559082;2.15686274
334.60968018;2.13725495
334.61376953;2.13725495
334.61788940;2.27450991
334.61788940;2.15686274
334.62197876;1.92156863
334.62606812;1.92156863
334.62606812;1.74509799
334.63018799;1.70588231
334.63430786;1.82352936
334.63839722;2.15686274
334.63839722;2.15686274
334.64245605;2.13725495
334.64654541;2.29411769
334.65066528;2.41176462
334.65066528;2.13725495
334.65475464;2.19607854
334.65887451;2.35294127
334.66296387;2.33333325
334.66296387;2.41176462
334.66705322;2.54901958
334.67117310;2.52941179
334.67117310;2.60784316
334.67523193;2.86274505
334.67932129;2.66666675
334.68341064;2.88235283
334.68341064;3.09803915
334.68750000;2.70588231
334.69158936;2.47058821
334.69573975;2.54901958
334.69573975;2.35294127
334.69979858;1.84313726
334.70388794;1.68627453
334.70800781;1.50980389
334.70800781;1.50980389
334.71209717;1.49019611
334.71624756;1.68627453
334.71624756;1.78431368
334.72030640;2.01960778
334.72436523;2.23529410
334.72851563;2.43137264
334.72851563;2.49019599
334.73260498;2.43137264
334.73663330;2.74509811
334.74078369;2.98039222
334.74078369;2.80392146
334.74487305;2.72549009
334.74896240;3.07843137
334.75308228;3.07843137
334.75308228;2.86274505
334.75714111;2.68627453
334.76129150;2.72549009
334.76129150;2.58823538
334.76538086;2.37254906
334.76940918;2.37254906
334.77355957;2.27450991
334.77355957;2.66666675
334.77761841;3.09803915
334.78173828;2.90196085
334.78585815;3.00000000
334.78585815;3.11764717
334.78991699;2.92156863
334.79403687;2.50980401
334.79812622;2.58823538
334.79812622;2.68627453
334.80221558;2.52941179
334.80633545;2.70588231
334.80633545;2.90196085
334.81039429;3.00000000
334.81451416;3.13725495
334.81860352;3.15686274
334.81860352;3.00000000
334.82272339;3.00000000
334.82684326;2.76470590
334.83090210;2.58823538
334.83090210;2.13725495
334.83499146;2.11764717
334.83908081;2.27450991
334.84320068;2.09803915
334.84320068;2.01960778
334.84729004;2.21568632
334.85140991;2.25490189
334.85140991;2.23529410
334.85546875;2.43137264
334.85952759;2.56862736
334.86367798;2.56862736
334.86367798;2.78431368
334.86773682;2.88235283
334.87185669;2.86274505
334.87594604;2.82352948
334.87594604;2.92156863
334.88003540;2.82352948
334.88412476;2.66666675
334.88830566;2.54901958
334.88830566;2.52941179
334.89245605;2.33333325
334.89645386;2.37254906
334.89645386;2.37254906
334.90054321;2.41176462
334.90463257;2.45098042
334.90872192;2.52941179
334.90872192;2.58823538
334.91281128;2.52941179
334.91690063;2.64705873
334.92102051;2.80392146
334.92102051;2.54901958
334.92510986;2.45098042
334.92919922;2.39215684
334.93328857;2.19607854
334.93328857;1.96078432
334.93737793;1.98039210
334.94149780;1.92156863
334.94149780;2.00000000
334.94558716;2.25490189
334.94967651;2.29411769
334.95379639;2.29411769
334.95379639;2.31372547
334.95788574;2.25490189
334.96197510;2.03921580
334.96609497;2.09803915
334.96609497;2.13725495
334.97015381;2.11764717
334.97430420;2.19607854
334.97836304;2.27450991
334.97836304;2.45098042
334.98245239;2.23529410
334.98654175;2.27450991
334.98654175;2.35294127
334.99063110;2.27450991
334.99472046;2.41176462
334.99887085;2.49019599
334.99887085;2.37254906
335.00292969;2.37254906
335.00701904;2.50980401
335.01113892;2.94117641
335.01113892;2.64705873
335.01528931;2.17647052
335.01934814;2.72549009
335.02343750;2.41176462
335.02343750;1.70588231
335.02749634;1.49019611
335.03161621;1.58823526
335.03161621;1.39215684
335.03570557;1.68627453
335.03982544;1.94117641
335.04391479;1.66666663
335.04391479;1.80392158
335.04806519;2.01960778
335.05209351;2.01960778
335.05621338;2.05882359
335.05621338;2.11764717
335.06030273;2.23529410
335.06436157;2.39215684
335.06851196;2.25490189
335.06851196;2.15686274
335.07257080;2.05882359
335.07669067;2.25490189
335.07669067;2.33333325
335.08078003;2.27450991
335.08486938;2.54901958
335.08898926;2.96078420
335.08898926;3.09803915
335.09304810;3.05882359
335.09713745;3.25490189
335.10131836;3.23529410
335.10131836;2.94117641
335.10534668;2.72549009
335.10943604;2.45098042
335.11355591;2.27450991
335.11355591;2.45098042
335.11764526;2.54901958
335.12176514;2.49019599
335.12176514;2.56862736
335.12582397;2.68627453
335.12991333;2.72549009
335.13403320;2.62745094
335.13403320;2.84313726
335.13812256;2.90196085
335.14218140;2.76470590
335.14636230;2.86274505
335.14636230;2.96078420
335.15045166;2.84313726
335.15451050;2.86274505
335.15863037;3.01960778
335.15863037;3.03921580
335.16268921;2.78431368
335.16680908;2.80392146
335.16680908;2.86274505
335.17086792;2.54901958
335.17498779;2.47058821
335.17910767;2.68627453
335.17910767;2.62745094
335.18316650;2.66666675
335.18728638;2.60784316
335.19137573;2.70588231
335.19137573;2.49019599
335.19546509;2.45098042
335.19955444;2.47058821
335.20370483;2.33333325
335.20370483;2.43137264
335.20776367;2.54901958
335.21185303;2.50980401
335.21185303;2.52941179
335.21594238;2.70588231
335.22000122;2.62745094
335.22415161;2.49019599
335.22415161;2.52941179
335.22833252;2.62745094
335.23245239;2.62745094
335.23651123;2.90196085
335.23651123;2.98039222
335.24050903;2.82352948
335.24465942;2.96078420
335.24877930;2.76470590
335.24877930;2.54901958
335.25283813;2.11764717
335.25692749;2.11764717
335.25692749;2.09803915
335.26098633;1.70588231
335.26519775;1.84313726
335.26919556;1.84313726
335.26919556;1.68627453
335.27331543;1.72549021
335.27734375;1.90196073
335.28149414;2.00000000
335.28149414;2.03921580
335.28561401;2.21568632
335.28967285;2.45098042
335.29379272;2.35294127
335.29379272;2.49019599
335.29788208;2.60784316
335.30197144;2.56862736
335.30197144;2.64705873
335.30609131;2.74509811
335.31018066;2.94117641
335.31430054;2.78431368
335.31430054;2.88235283
335.31835938;2.78431368
335.32244873;2.74509811
335.32653809;2.49019599
335.32653809;2.25490189
335.33065796;2.43137264
335.33474731;2.27450991
335.33883667;1.80392158
335.33883667;1.72549021
335.34292603;1.43137252
335.34704590;1.03921568
335.34704590;1.23529410
335.35116577;1.07843137
335.35522461;1.60784316
335.35931396;2.45098042
335.35931396;2.72549009
335.36343384;2.86274505
335.36749268;3.15686274
335.37161255;3.15686274
335.37161255;2.70588231
335.37570190;2.62745094
335.37979126;2.88235283
335.38391113;2.80392146
335.38391113;2.60784316
335.38800049;2.76470590
335.39212036;3.05882359
335.39212036;2.96078420
335.39617920;2.43137264
335.40032959;2.47058821
335.40438843;2.37254906
335.40438843;2.15686274
335.40847778;2.07843137
335.41256714;1.96078432
335.41671753;2.05882359
335.41671753;2.27450991
335.42092896;2.25490189
335.42486572;2.52941179
335.42898560;2.60784316
335.42898560;2.68627453
335.43307495;2.88235283
335.43716431;2.92156863
335.43716431;2.78431368
335.44128418;2.64705873
335.44534302;2.64705873
335.44946289;2.52941179
335.44946289;2.43137264
335.45352173;2.52941179
335.45764160;2.66666675
335.46176147;2.64705873
335.46176147;2.58823538
335.46588135;2.70588231
335.46994019;2.78431368
335.47402954;2.64705873
335.47402954;2.76470590
335.47811890;2.82352948
335.48223877;2.70588231
335.48223877;2.72549009
335.48632813;2.76470590
335.49038696;2.72549009
335.49450684;2.64705873
335.49450684;2.74509811
335.49859619;2.78431368
335.50268555;2.70588231
335.50680542;2.68627453
335.50680542;2.72549009
335.51089478;2.62745094
335.51501465;2.64705873
335.51910400;2.68627453
335.51910400;2.56862736
335.52316284;2.54901958
335.52728271;2.54901958
335.52728271;2.56862736
335.53143311;2.37254906
335.53546143;2.49019599
335.53958130;2.62745094
335.53958130;2.54901958
335.54364014;2.52941179
335.54772949;2.49019599
335.55187988;2.29411769
335.55187988;2.07843137
335.55593872;2.15686274
335.55999756;2.07843137
335.56414795;2.00000000
335.56414795;2.35294127
335.56823730;2.66666675
335.57235718;2.56862736
335.57235718;2.54901958
335.57641602;2.52941179
335.58050537;2.23529410
335.58465576;1.96078432
335.58465576;1.70588231
335.58877563;1.70588231
335.59280396;1.60784316
335.59692383;1.76470590
335.59692383;1.88235295
335.60101318;1.80392158
335.60510254;2.07843137
335.60916138;2.23529410
335.60916138;2.33333325
335.61331177;2.39215684
335.61743164;2.58823538
335.61743164;2.78431368
335.62145996;2.82352948
335.62557983;2.88235283
335.62969971;2.80392146
335.62969971;2.84313726
335.63378906;2.82352948
335.63787842;2.78431368
335.64196777;2.56862736
335.64196777;2.50980401
335.64608765;2.52941179
335.65020752;2.84313726
335.65432739;3.15686274
335.65432739;3.19607854
335.65835571;2.90196085
335.66247559;2.60784316
335.66247559;2.52941179
335.66656494;1.88235295
335.67059326;1.47058821
335.67474365;1.23529410
335.67474365;1.52941179
335.67883301;2.05882359
335.68292236;2.27450991
335.68704224;2.49019599
335.68704224;2.86274505
335.69113159;2.56862736
335.69534302;2.70588231
335.69934082;2.70588231
335.69934082;2.50980401
335.70343018;2.37254906
335.70751953;2.35294127
335.70751953;2.39215684
335.71160889;2.27450991
335.71569824;2.35294127
335.71978760;2.37254906
335.71978760;2.07843137
335.72390747;2.19607854
335.72796631;2.25490189
335.73211670;2.15686274
335.73211670;2.23529410
335.73617554;2.33333325
335.74029541;2.47058821
335.74441528;2.45098042
335.74441528;2.56862736
335.74847412;2.76470590
335.75256348;2.74509811
335.75256348;2.94117641
335.75769043;3.00000000
335.76074219;3.03921580
335.76492310;3.05882359
335.76492310;3.17647052
335.76895142;2.98039222
335.77304077;2.86274505
335.77713013;2.96078420
335.77713013;2.88235283
335.78131104;2.66666675
335.78536987;2.74509811
335.78945923;2.80392146
335.78945923;2.74509811
335.79351807;2.82352948
335.79763794;2.92156863
335.79763794;2.92156863
335.80172729;2.70588231
335.80755615;2.62745094
335.80993652;2.66666675
335.80993652;2.49019599
335.81402588;2.54901958
335.81808472;2.62745094
335.82223511;2.54901958
335.82223511;2.52941179
335.82629395;2.52941179
335.83041382;2.52941179
335.83453369;2.33333325
335.83453369;2.54901958
335.83859253;2.70588231
335.84271240;2.60784316
335.84271240;2.50980401
335.84677124;2.76470590
335.85089111;2.76470590
335.85501099;2.43137264
335.85501099;2.25490189
335.85906982;2.29411769
335.86315918;2.03921580
335.86730957;1.90196073
335.86730957;1.80392158
335.87133789;1.68627453
335.87545776;1.70588231
335.87957764;1.78431368
335.87957764;1.60784316
335.88363647;1.49019611
335.88778687;1.62745094
335.88778687;1.88235295
335.89184570;1.78431368
335.89599609;2.11764717
335.90008545;2.41176462
335.90008545;2.47058821
335.90411377;2.70588231
335.90823364;2.82352948
335.91235352;2.78431368
335.91235352;2.84313726
335.91644287;2.92156863
335.92053223;2.84313726
335.92462158;2.68627453
335.92462158;2.70588231
335.92871094;2.68627453
335.93283081;2.58823538
335.93283081;2.76470590
335.93688965;2.80392146
335.94100952;2.88235283
335.94509888;3.07843137
335.94509888;2.90196085
335.94918823;2.92156863
335.95343018;2.60784316
335.95739746;2.54901958
335.95739746;2.49019599
335.96148682;2.56862736
335.96557617;1.94117641
335.96969604;1.90196073
335.96969604;2.13725495
335.97378540;1.86274505
335.98007202;1.76470590
335.98007202;1.54901958
335.98193359;1.64705884
335.98608398;1.84313726
335.99017334;2.09803915
335.99017334;2.13725495
335.99429321;2.35294127
335.99835205;2.56862736
336.00247192;2.54901958
336.00247192;2.64705873
336.00653076;2.72549009
336.01062012;2.78431368
