Time;Amplitude
366.43029785;2.94117641
366.43029785;2.90196085
366.43438721;2.96078420
366.43850708;2.62745094
366.44259644;2.56862736
366.44259644;2.58823538
366.44668579;2.31372547
366.45077515;2.19607854
366.45489502;2.52941179
366.45489502;2.35294127
366.45898438;2.11764717
366.46307373;1.94117641
366.46716309;2.00000000
366.47131348;2.03921580
366.47537231;2.21568632
366.47537231;2.29411769
366.47946167;2.31372547
366.48355103;2.43137264
366.48764038;2.58823538
366.48764038;2.52941179
366.49176025;2.64705873
366.49581909;2.82352948
366.50000000;2.70588231
366.50000000;2.86274505
366.50402832;2.76470590
366.50811768;2.54901958
366.51226807;2.86274505
366.51632690;2.84313726
366.52041626;2.58823538
366.52041626;2.35294127
366.52450562;2.64705873
366.52859497;2.33333325
366.53271484;2.21568632
366.53271484;1.88235295
366.53680420;1.86274505
366.54092407;1.94117641
366.54498291;1.92156863
366.54498291;1.94117641
366.54910278;1.98039210
366.55319214;2.23529410
366.55731201;2.52941179
366.56137085;2.86274505
366.56549072;2.84313726
366.56549072;2.82352948
366.56958008;3.01960778
366.57366943;3.17647052
366.57778931;2.96078420
366.57778931;2.88235283
366.58184814;2.80392146
366.58593750;2.76470590
366.59008789;2.58823538
366.59008789;2.58823538
366.59414673;2.86274505
366.59826660;2.62745094
366.60235596;2.78431368
366.60644531;2.78431368
366.61059570;2.62745094
366.61059570;2.58823538
366.61462402;2.45098042
366.61871338;2.41176462
366.62283325;1.98039210
366.62283325;1.84313726
366.62692261;1.58823526
366.63098145;1.39215684
366.63513184;1.39215684
366.63513184;1.41176474
366.63928223;1.52941179
366.64331055;1.68627453
366.64743042;1.96078432
366.65148926;2.19607854
366.65576172;2.45098042
366.65576172;2.43137264
366.65969849;2.50980401
366.66375732;2.56862736
366.66790771;2.49019599
366.66790771;2.60784316
366.67199707;2.96078420
366.67608643;2.96078420
366.68014526;2.84313726
366.68014526;2.90196085
366.68426514;2.96078420
366.68838501;2.68627453
366.69247437;2.94117641
366.69653320;2.66666675
366.70068359;2.68627453
366.70068359;2.80392146
366.70474243;2.76470590
366.70886230;2.35294127
366.71295166;2.33333325
366.71295166;2.33333325
366.71704102;2.27450991
366.72122192;2.37254906
366.72528076;2.43137264
366.72528076;2.45098042
366.72930908;2.33333325
366.73342896;2.56862736
366.73751831;2.47058821
366.74163818;2.56862736
366.74575806;2.72549009
366.74575806;2.35294127
366.74984741;2.45098042
366.75390625;2.47058821
366.75802612;2.41176462
366.75802612;2.27450991
366.76214600;2.39215684
366.76623535;2.78431368
366.77029419;2.45098042
366.77029419;2.74509811
366.77441406;2.90196085
366.77850342;2.86274505
366.78259277;2.64705873
366.78668213;2.96078420
366.79083252;2.90196085
366.79083252;2.68627453
366.79486084;2.94117641
366.79895020;2.76470590
366.80307007;2.49019599
366.80307007;2.11764717
366.80715942;1.84313726
366.81127930;1.96078432
366.81536865;1.96078432
366.81536865;2.03921580
366.81945801;2.17647052
366.82354736;2.31372547
366.82763672;2.31372547
366.83175659;2.27450991
366.83584595;2.35294127
366.83584595;2.09803915
366.83993530;2.13725495
366.84402466;2.23529410
366.84814453;2.41176462
366.84814453;2.23529410
366.85226440;2.37254906
366.85635376;2.60784316
366.86041260;2.35294127
366.86041260;2.27450991
366.86450195;2.35294127
366.86859131;2.37254906
366.87271118;2.92156863
366.87680054;3.01960778
366.88088989;3.07843137
366.88088989;3.25490189
366.88500977;3.37254906
366.88906860;2.78431368
366.89318848;2.88235283
366.89318848;2.74509811
366.89727783;2.43137264
366.90136719;2.31372547
366.90551758;1.96078432
366.90551758;1.86274505
366.90957642;1.68627453
366.91369629;1.76470590
366.91778564;1.66666663
366.92190552;1.78431368
366.92599487;2.11764717
366.92599487;2.05882359
366.93005371;2.21568632
366.93414307;2.47058821
366.93826294;2.45098042
366.93826294;2.47058821
366.94229126;2.56862736
366.94644165;2.54901958
366.95056152;2.50980401
366.95056152;2.74509811
366.95462036;2.72549009
366.95877075;2.80392146
366.96282959;2.88235283
366.96691895;2.82352948
366.97106934;2.64705873
366.97106934;2.76470590
366.97512817;2.68627453
366.97918701;2.50980401
366.98333740;2.33333325
366.98333740;2.62745094
366.98739624;2.49019599
366.99148560;2.33333325
366.99560547;2.49019599
366.99560547;2.60784316
366.99969482;2.49019599
367.00381470;2.09803915
367.00790405;2.09803915
367.01196289;1.88235295
367.01611328;1.78431368
367.01611328;1.60784316
367.02014160;1.78431368
367.02432251;2.05882359
367.02838135;1.96078432
367.02838135;2.17647052
367.03247070;2.39215684
367.03656006;2.41176462
367.04071045;2.43137264
367.04071045;2.60784316
367.04473877;2.78431368
367.04882813;2.80392146
367.05294800;3.39215684
367.05703735;3.25490189
367.06115723;3.13725495
367.06115723;3.11764717
367.06527710;2.96078420
367.06933594;2.66666675
367.07345581;2.80392146
367.07345581;2.82352948
367.07751465;2.62745094
367.08163452;2.74509811
367.08572388;2.64705873
367.08572388;2.35294127
367.08981323;2.19607854
367.09393311;2.19607854
367.09802246;2.33333325
367.10214233;2.23529410
367.10623169;2.52941179
367.10623169;2.23529410
367.11035156;2.31372547
367.11441040;2.43137264
367.11849976;2.25490189
367.11849976;2.15686274
367.12255859;2.23529410
367.12667847;2.37254906
367.13076782;2.41176462
367.13076782;2.31372547
367.13488770;2.54901958
367.13897705;2.60784316
367.14306641;2.70588231
367.14715576;2.50980401
367.15127563;2.82352948
367.15127563;2.96078420
367.15542603;2.52941179
367.15945435;2.56862736
367.16354370;2.64705873
367.16354370;2.58823538
367.16763306;2.17647052
367.17169189;2.27450991
367.17587280;2.47058821
367.17587280;2.13725495
367.17993164;2.17647052
367.18402100;2.09803915
367.18814087;2.13725495
367.18814087;2.00000000
367.19226074;2.21568632
367.19631958;2.25490189
367.19631958;2.19607854
367.20040894;2.35294127
367.20449829;2.35294127
367.20867920;2.27450991
367.20867920;2.33333325
367.21270752;2.45098042
367.21679688;2.47058821
367.22094727;2.41176462
367.22094727;2.52941179
367.22506714;2.58823538
367.22918701;2.45098042
367.23327637;2.76470590
367.23730469;2.66666675
367.24145508;2.98039222
367.24145508;3.19607854
367.24548340;3.03921580
367.24957275;2.98039222
